objectid,classification,beginyear
66408,Painting,1866.0
66416,Painting,1891.0
66420,Painting,1877.0
66421,Painting,1872.0
66933,Print,1970.0
67015,Print,1983.0
67432,Painting,1945.0
67491,Painting,1964.0
67499,Painting,1957.0
67500,Painting,1949.0
67501,Painting,1948.0
67502,Painting,1949.0
67510,Painting,1964.0
67959,Drawing,1909.0
69397,Drawing,1784.0
69393,Drawing,1850.0
69516,Portfolio,1980.0
70357,Drawing,1791.0
71070,Sculpture,1968.0
71233,Print,1986.0
160952,Print,1610.0
71340,Photograph,1941.0
71341,Sculpture,1987.0
71343,Print,1988.0
71371,Sculpture,1968.0
71362,Print,1638.0
71363,Print,1638.0
71506,Volume,1821.0
71504,Drawing,1640.0
71505,Drawing,1828.0
71542,Drawing,1960.0
72015,Sculpture,1974.0
72013,Sculpture,1810.0
72139,Print,1883.0
72145,Print,1914.0
72613,Drawing,1983.0
72861,Photograph,1952.0
73832,Print,1990.0
73828,Drawing,1720.0
73829,Drawing,1720.0
74791,Drawing,1975.0
74991,Painting,1843.0
75047,Drawing,1791.0
75182,Drawing,1885.0
79525,Print,1973.0
79526,Print,1973.0
79527,Print,1973.0
80409,Print,1987.0
81396,Volume,1642.0
81605,Volume,1780.0
82649,Painting,1838.0
83009,Drawing,1929.0
88576,Photograph,1966.0
88577,Photograph,1966.0
88578,Photograph,1966.0
89677,Painting,1915.0
91214,Print,1990.0
91215,Print,1990.0
91217,Print,1990.0
93040,Sculpture,1954.0
93041,Sculpture,1908.0
93047,Painting,1910.0
94696,Drawing,1989.0
95462,Volume,1800.0
95463,Print,1955.0
96645,Print,1606.0
96646,Print,1597.0
96647,Print,1597.0
96648,Print,1838.0
96688,Painting,1545.0
97063,Painting,1879.0
97594,Print,1993.0
101752,Print,1817.0
102515,Photograph,1982.0
102951,Drawing,1991.0
102629,Painting,1480.0
102970,Print,1964.0
102986,Drawing,1712.0
102987,Painting,1600.0
103307,Sculpture,1680.0
103431,Print,1921.0
103354,Sculpture,1814.0
103399,Print,1919.0
103606,Print,1807.0
104212,Print,1895.0
104213,Print,1895.0
104215,Print,1895.0
104216,Print,1895.0
106383,Painting,1907.0
106388,Drawing,1920.0
106386,Drawing,1890.0
106387,Drawing,1890.0
109994,Print,1970.0
110282,Sculpture,1830.0
110284,Sculpture,1840.0
110285,Sculpture,1829.0
110286,Sculpture,1801.0
110287,Sculpture,1800.0
110288,Sculpture,1840.0
110289,Sculpture,1860.0
110290,Sculpture,1860.0
111048,Sculpture,1979.0
111184,Print,1997.0
111185,Print,1997.0
180199,Print,1800.0
112235,Drawing,1994.0
113048,Volume,1804.0
114898,Volume,1804.0
119042,Photograph,1995.0
119210,Sculpture,1971.0
124471,Print,1914.0
125312,Print,1944.0
125317,Drawing,1993.0
129853,Print,1587.0
130845,Drawing,1879.0
130844,Drawing,1920.0
131004,Print,1918.0
131273,Print,1913.0
131274,Sculpture,1800.0
131943,Drawing,1956.0
131903,Print,1710.0
131911,Print,1764.0
132263,Painting,1962.0
134233,Print,1758.0
134529,Print,1903.0
134531,Print,1903.0
136018,Painting,1864.0
139457,Photograph,1944.0
141990,Photograph,1989.0
141991,Print,1874.0
144277,Drawing,1714.0
144278,Drawing,1714.0
144296,Photograph,1857.0
144495,Drawing,1955.0
144915,Print,1939.0
145793,Print,1951.0
150743,Photograph,1971.0
150744,Photograph,1973.0
152791,Print,1909.0
154203,Print,1945.0
154208,Print,1919.0
156243,Sculpture,1978.0
157837,Volume,1742.0
158701,Print,1900.0
161566,Print,1969.0
163319,Print,1951.0
164125,Print,1973.0
164917,Painting,1937.0
164920,Drawing,1939.0
164916,Drawing,1834.0
164918,Painting,1860.0
165216,Print,1618.0
165231,Photograph,1845.0
166412,Print,1763.0
166424,Print,1804.0
166438,Painting,1837.0
166439,Painting,1837.0
166473,Painting,1910.0
176868,Painting,1984.0
180153,Print,1800.0
178226,Sculpture,1943.0
178242,Decorative Art,1800.0
179255,Print,1800.0
179550,Print,1800.0
195076,Photograph,1978.0
195550,Print,1800.0
195857,Print,1833.0
196026,Print,1800.0
197096,Print,1800.0
197432,Print,1800.0
197463,Print,1800.0
197503,Print,1800.0
197716,Drawing,1847.0
197742,Drawing,1922.0
197923,Print,1800.0
202754,Drawing,1842.0
204304,Print,1800.0
210094,Painting,2013.0
218593,Drawing,1884.0
219336,Painting,1932.0
220497,Print,1705.0
222901,Print,1970.0
224107,Sculpture,2012.0
4576,Print,1918.0
31,Painting,1482.0
586,Print,1475.0
587,Print,1490.0
8812,Print,1911.0
588,Print,1497.0
607,Print,1504.0
603,Print,1523.0
5,Painting,1430.0
33,Painting,1310.0
32799,Print,1871.0
34,Painting,1310.0
32800,Print,1871.0
30,Painting,1482.0
6,Painting,1354.0
15,Painting,1450.0
604,Print,1496.0
38938,Print,1809.0
605,Print,1510.0
2,Painting,1387.0
3,Painting,1387.0
4,Painting,1387.0
16,Painting,1430.0
109,Painting,1796.0
110,Painting,1793.0
131,Sculpture,1825.0
138,Sculpture,1780.0
43029,Print,1934.0
553,Drawing,1898.0
554,Drawing,1898.0
566,Painting,1829.0
909,Print,1495.0
1042,Print,1903.0
984,Painting,1933.0
988,Sculpture,1941.0
989,Painting,1941.0
1043,Print,1903.0
993,Painting,1793.0
999,Sculpture,1900.0
1041,Print,1908.0
8926,Print,1917.0
1045,Print,1908.0
1036,Print,1905.0
1037,Print,1907.0
1038,Print,1905.0
1039,Print,1923.0
1040,Print,1923.0
1046,Print,1903.0
1047,Print,1906.0
1048,Drawing,1876.0
1049,Print,1913.0
1050,Print,1915.0
1051,Print,1927.0
1052,Print,1920.0
1053,Print,1913.0
1054,Print,1908.0
1055,Print,1925.0
1056,Print,1920.0
1057,Print,1913.0
1058,Print,1913.0
1059,Print,1903.0
1062,Print,1911.0
1063,Print,1907.0
1064,Print,1899.0
1080,Print,1924.0
1081,Print,1926.0
1084,Print,1926.0
1086,Print,1920.0
2588,Print,1793.0
2444,Print,1775.0
1095,Painting,1750.0
1097,Painting,1876.0
1098,Painting,1877.0
1108,Painting,1798.0
1109,Painting,1787.0
1124,Painting,1824.0
1125,Painting,1832.0
1118,Painting,1780.0
1127,Painting,1834.0
1129,Painting,1815.0
1130,Painting,1815.0
1131,Painting,1820.0
1132,Painting,1828.0
1134,Painting,1749.0
1137,Sculpture,1927.0
1161,Painting,1785.0
2445,Print,1775.0
1174,Painting,1791.0
1213,Painting,1785.0
1215,Painting,1800.0
4270,Print,1521.0
3423,Print,1912.0
2340,Drawing,1753.0
1239,Painting,1921.0
2626,Volume,1772.0
2033,Drawing,1765.0
2576,Print,1774.0
2341,Drawing,1754.0
1645,Decorative Art,1600.0
1831,Decorative Art,1800.0
1830,Decorative Art,1800.0
8993,Print,1925.0
1832,Decorative Art,1800.0
1865,Volume,1757.0
1436,Decorative Art,1850.0
1438,Decorative Art,1175.0
1451,Decorative Art,1570.0
1440,Decorative Art,1200.0
1442,Decorative Art,1150.0
1443,Decorative Art,1272.0
1452,Decorative Art,1540.0
1556,Decorative Art,1500.0
1445,Decorative Art,1800.0
1446,Decorative Art,1500.0
1448,Decorative Art,1500.0
1450,Decorative Art,1560.0
1459,Decorative Art,1570.0
1453,Decorative Art,1562.0
1518,Decorative Art,1550.0
1458,Decorative Art,1600.0
1469,Decorative Art,1885.0
1460,Decorative Art,1850.0
1462,Decorative Art,1875.0
1464,Decorative Art,1870.0
1519,Decorative Art,1550.0
1467,Decorative Art,1890.0
1468,Decorative Art,1885.0
1703,Decorative Art,1700.0
1470,Decorative Art,1885.0
1473,Decorative Art,1510.0
1475,Decorative Art,1510.0
1726,Decorative Art,1736.0
1478,Decorative Art,1500.0
1479,Decorative Art,1513.0
1480,Decorative Art,1510.0
1481,Decorative Art,1500.0
1483,Decorative Art,1515.0
1996,Print,1765.0
1484,Decorative Art,1515.0
1485,Decorative Art,1500.0
1487,Decorative Art,1490.0
1488,Decorative Art,1490.0
1489,Decorative Art,1525.0
1491,Decorative Art,1524.0
1495,Decorative Art,1526.0
1497,Decorative Art,1538.0
1499,Decorative Art,1535.0
1502,Decorative Art,1532.0
1503,Decorative Art,1520.0
1504,Decorative Art,1529.0
1505,Decorative Art,1532.0
1506,Decorative Art,1535.0
1507,Decorative Art,1540.0
1508,Decorative Art,1540.0
1510,Decorative Art,1540.0
1560,Decorative Art,1500.0
1516,Decorative Art,1550.0
1984,Drawing,1795.0
1523,Decorative Art,1475.0
